metric,geography,value,unit,source_url
Policies in band $30-$40 increase (all NFIP policies),Florida,15787,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $30-$40 increase (all NFIP policies),Florida,0.914,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies in band $40-$50 increase (all NFIP policies),Florida,4137,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $40-$50 increase (all NFIP policies),Florida,0.239,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies in band $50-$60 increase (all NFIP policies),Florida,2957,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $50-$60 increase (all NFIP policies),Florida,0.171,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies in band $60-$70 increase (all NFIP policies),Florida,1367,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $60-$70 increase (all NFIP policies),Florida,0.079,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies in band $70-$80 increase (all NFIP policies),Florida,844,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $70-$80 increase (all NFIP policies),Florida,0.049,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
