metric,geography,as_of_date,value,unit,source_url
Personal Residential Multiperil total exposure,"Miami-Dade County, FL",2025-12-31,14468016900,USD,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Personal Residential Multiperil total premium,"Miami-Dade County, FL",2025-12-31,161473733,USD,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Personal Residential Wind-Only building count,"Miami-Dade County, FL",2025-12-31,16399,buildings,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Personal Residential Wind-Only policies in force,"Miami-Dade County, FL",2025-12-31,16399,policies,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Personal Residential Wind-Only total exposure,"Miami-Dade County, FL",2025-12-31,8977669257,USD,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Personal Residential Wind-Only total premium,"Miami-Dade County, FL",2025-12-31,62263874,USD,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Personal residential total policies in force (multiperil + wind-only),"Miami-Dade County, FL",2025-12-31,87511,policies,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Total building count (all lines),"Miami-Dade County, FL",2025-12-31,90153,buildings,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Total insured value / exposure (all lines),"Miami-Dade County, FL",2025-12-31,28837734033,USD,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Total policies in force (all lines),"Miami-Dade County, FL",2025-12-31,88973,policies,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Total premium (all lines),"Miami-Dade County, FL",2025-12-31,267557498,USD,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
Commercial Non-Residential Multiperil building count,"Miami-Dade County, FL",2026-06-30,147,buildings,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Non-Residential Multiperil policies in force,"Miami-Dade County, FL",2026-06-30,118,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Non-Residential Multiperil total exposure,"Miami-Dade County, FL",2026-06-30,97392687,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Non-Residential Multiperil total premium,"Miami-Dade County, FL",2026-06-30,1251463,USD,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Non-Residential Wind-Only building count,"Miami-Dade County, FL",2026-06-30,368,buildings,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
Commercial Non-Residential Wind-Only policies in force,"Miami-Dade County, FL",2026-06-30,315,policies,https://www.citizensfla.com/documents/20702/38830519/20260630+Detail+by+County.pdf/ca6d2c17-12d1-5bb7-501d-ba94995ef71c
